,0
[ 1. -1.  1. -1. -1.  0.  1. -1.  1.],0.9817519963685992
[ 1. -1.  1. -1.  0.  0.  1. -1.  0.],0.08842797726365376
[ 1. -1.  1.  0.  0.  0.  0. -1.  0.],0.36048085966140286
[ 1. -1.  0.  0.  0.  0.  0.  0.  0.],0.25220786566539766
[ 1. -1. -1. -1. -1.  1.  1.  1.  0.],0.0
[ 1. -1. -1. -1.  0.  0.  1.  1.  0.],0.10122537391386824
[ 1. -1. -1.  0.  0.  0.  1.  0.  0.],0.018665091679350085
[-1.  1. -1.  1. -1. -1.  0.  1.  1.],0.0
[-1.  1. -1.  1. -1.  0.  0.  0.  1.],0.42885750968942155
[-1.  0. -1.  1.  0.  0.  0.  0.  1.],0.5836396640415459
[-1.  0.  0.  1.  0.  0.  0.  0.  0.],0.3718038544815133
[ 1.  1.  0.  0.  0.  0. -1. -1.  0.],0.22936712280770982
[ 1.  0.  0.  0.  0.  0. -1.  0.  0.],0.4023061909732875
[-1.  0. -1.  1.  1.  0.  1.  0. -1.],0.3864715189092386
[-1.  0. -1.  1.  0.  0.  1.  0.  0.],0.5943056365427442
[ 1. -1.  1.  1. -1.  0.  0. -1.  0.],0.9990449950492033
[ 0.  0.  1.  0.  0.  0.  0. -1.  0.],0.2707064527757148
[ 1. -1. -1.  0.  0.  1. -1.  0.  1.],0.19675851533632724
[ 1. -1.  0.  0.  0.  1. -1.  0.  0.],0.22553382291321886
[ 1.  0.  1.  0. -1. -1.  0.  1. -1.],0.1794727556911345
[ 1.  0.  1.  0. -1.  0.  0.  0. -1.],0.1524042732827066
[ 1.  0.  0.  0. -1.  0.  0.  0.  0.],0.33294869468341537
[-1. -1. -1.  1.  0.  1.  1.  1. -1.],0.9353891811077333
[-1.  0. -1.  0.  0.  1.  1.  1. -1.],0.7192445541572311
[-1.  0. -1.  0.  0.  1.  1.  0.  0.],0.6614151568656862
[-1.  0.  0.  0.  0.  1.  0.  0.  0.],0.3054570665885159
[ 1.  1.  0. -1. -1.  0.  0. -1.  1.],0.3222046894066485
[ 1.  1.  0.  0. -1.  0.  0. -1.  0.],0.22705120205731952
[ 1.  0.  0.  0.  0.  0.  0. -1.  0.],0.2677385152044327
[-1. -1.  1.  1.  1. -1.  0. -1.  1.],0.0
[-1. -1.  1.  0.  1.  0.  0. -1.  1.],0.0
[-1. -1.  0.  0.  1.  0.  0.  0.  1.],0.20700787901329312
[ 0. -1.  0.  0.  1.  0.  0.  0.  0.],0.18314253914828205
[-1. -1.  0. -1.  1.  0.  1.  1.  0.],0.07600924908335134
[-1.  0.  0. -1.  1.  0.  1.  0.  0.],0.07962270485161953
[ 0.  0.  0. -1.  1.  0.  0.  0.  0.],0.23622405698494303
[-1.  1.  1.  1. -1. -1.  1. -1.  0.],0.49863053627502335
[-1.  1.  1.  1. -1. -1.  0.  0.  0.],0.6740537217532804
[-1.  1.  0.  1.  0. -1.  0.  0.  0.],0.2982079767216861
[ 1.  1. -1.  1.  1. -1. -1.  0. -1.],0.9999990879655439
[ 1.  1. -1.  1.  0.  0. -1.  0. -1.],0.9803987421439365
[ 1.  1. -1.  0.  0.  0. -1.  0.  0.],0.5339626029657587
[ 1.  0. -1.  0.  0.  0.  0.  0.  0.],0.28545110148955255
[ 1.  1. -1. -1.  1.  1. -1. -1.  0.],0.0
[ 1.  1. -1. -1.  0.  1.  0. -1.  0.],0.1802932466047557
[ 1.  1. -1.  0.  0.  0.  0. -1.  0.],0.2574164124864068
[-1. -1. -1.  1.  0.  1.  1.  0.  0.],0.9985444216570694
[-1. -1.  0.  1.  0.  0.  1.  0.  0.],0.5186864614617589
[-1.  0.  0.  0.  0.  0.  1.  0.  0.],0.24071836325184442
[-1.  1.  1.  1. -1.  0.  0.  0. -1.],0.9999595162339772
[-1.  1.  0.  1.  0.  0.  0.  0. -1.],0.36167819345639673
[-1.  0.  1.  0.  1.  0.  0.  0. -1.],0.06910682228277551
[ 0.  0.  1.  0.  0.  0.  0.  0. -1.],0.3281462569550459
[-1.  0.  1.  0. -1.  0. -1.  1.  1.],0.15825161924949663
[ 0.  0.  0.  0. -1.  0. -1.  1.  1.],0.798127965804537
[ 0.  0.  0.  0. -1.  0.  0.  0.  1.],0.4231487424653041
[-1.  1.  1.  0. -1.  1.  1. -1. -1.],0.9982029897000857
[-1.  0.  1.  0.  0.  1.  1. -1. -1.],0.1466546754821634
[-1.  0.  1.  0.  0.  1.  0. -1.  0.],0.12879474284098302
[ 1.  1. -1.  1. -1.  0. -1. -1.  1.],0.9880274848174379
[ 1.  0.  0.  1. -1.  0. -1. -1.  1.],0.7272420342893156
[ 1.  0.  0.  0. -1.  0. -1.  0.  1.],0.6209656968177851
[ 0.  0.  0.  0.  0.  0. -1.  0.  1.],0.32871068876744386
[ 1. -1. -1. -1.  0.  1.  0.  1.  0.],0.21050834941800797
[ 1. -1.  0. -1.  0.  0.  0.  1.  0.],0.1645103436199113
[ 1.  0.  0. -1.  0.  0.  0.  0.  0.],0.28066569946831477
[ 1. -1.  1. -1.  1.  1. -1. -1.  0.],0.0
[ 1. -1.  1. -1.  0.  1.  0. -1.  0.],0.08797244404095547
[-1.  0.  1.  0. -1.  1.  0.  1. -1.],0.9988209815422262
[ 0.  0.  1.  0. -1.  1.  0.  0. -1.],0.6714128757144492
[ 0.  0.  1.  0. -1.  0.  0.  0.  0.],0.4838362990207529
[-1.  1.  0.  0.  0.  0.  0.  0.  0.],0.37641056550041607
[-1.  0.  0.  0.  1. -1.  0.  1.  0.],0.15351775180816912
[ 0.  0.  0.  0.  1. -1.  0.  0.  0.],0.26088470102775757
[-1.  1.  1.  0. -1.  1. -1.  1. -1.],0.9966186080864774
[-1.  1.  0.  0. -1.  1. -1.  1.  0.],0.9249830721349519
[-1.  0.  0.  0. -1.  1.  0.  1.  0.],0.4341214214939003
[-1.  0.  0.  0.  0.  0.  0.  1.  0.],0.3675416450921998
[ 1.  1. -1. -1. -1.  0.  1. -1.  1.],0.49994194684648235
[ 1.  1. -1. -1.  0.  0.  1. -1.  0.],0.1901618893277768
[ 1.  0. -1.  0.  0.  0.  1. -1.  0.],0.07508494984205091
[ 0.  0. -1.  0.  0.  0.  1.  0.  0.],0.31583279049991364
[-1.  0.  0.  0.  1.  0. -1.  1.  0.],0.26469840119471044
[ 0.  0.  0.  0.  1.  0. -1.  0.  0.],0.3039152905575785
[-1.  1.  1.  1.  0. -1.  1. -1. -1.],0.0
[-1.  1.  1.  1.  0. -1.  0. -1.  0.],0.32271398004850194
[ 0.  0.  1.  1.  0. -1.  0. -1.  0.],0.22588705822415206
[ 0.  1.  1.  1. -1. -1. -1.  1. -1.],0.0
[ 0.  1.  1.  0. -1. -1.  0.  1. -1.],0.33882452986562395
[ 0.  0.  1.  0. -1.  0.  0.  1. -1.],0.5147885966186794
[-1. -1. -1.  1. -1.  1.  1.  1.  0.],0.9892247363356941
[-1. -1.  0.  1. -1.  0.  1.  1.  0.],0.32897406307061716
[-1. -1.  0.  0.  0.  0.  1.  1.  0.],0.31107934462420517
[ 1.  1. -1. -1. -1.  1.  1. -1.  0.],0.49999696180195163
[ 1.  0. -1. -1.  0.  1.  1. -1.  0.],0.4498025301557186
[ 1.  0. -1.  0.  0.  1.  0. -1.  0.],0.2209448992961119
[ 0.  0. -1.  0.  0.  1.  0.  0.  0.],0.35525864743804636
[-1. -1.  0.  0.  1. -1.  1.  0.  1.],0.1606198970810348
[-1.  0.  0.  0.  1. -1.  0.  0.  1.],0.28420283185481426
[-1.  0.  0.  0.  1.  0.  0.  0.  0.],0.26554725943245094
[ 1. -1.  0.  0.  1. -1.  0.  0.  0.],0.10433055386826863
[-1.  0.  0.  1.  1.  0.  0. -1.  0.],0.1391112732163894
[ 0.  0.  0.  0.  1.  0.  0. -1.  0.],0.25049327390081794
[ 1. -1. -1.  1.  0. -1.  0.  0.  1.],0.0
[ 1. -1. -1.  1.  0.  0.  0.  0.  0.],0.197344164350417
[-1.  1. -1.  1.  1. -1.  1.  0. -1.],0.9999998767976688
[-1.  1. -1.  1.  1. -1.  0.  0.  0.],0.23199862476619315
[-1.  1. -1.  0.  1.  0.  0.  0.  0.],0.14288841061364144
[-1.  0.  0. -1.  1.  0.  1.  1. -1.],0.0
[-1.  0.  0. -1.  1.  0.  0.  1.  0.],0.21053141060716357
[-1. -1.  1.  1.  1.  0. -1.  1. -1.],0.0
